2020/11/23 09:37:01.955 [E]  svrport = 0 query sql %!(EXTRA string=query sql CALL Msp_BillMain_Query (0,0,"",1," and m.f_status =0",1,20," order by m.id  desc"))
2020/11/23 09:37:16.751 [E]  svrport = 0 query sql %!(EXTRA string=query sql CALL Msp_BillMain_Query (0,0,"",1," and m.f_status =0",1,20," order by m.id  desc"))
2020/11/23 09:44:52.188 [E]  svrport = 0 query sql %!(EXTRA string=query sql CALL Msp_BillMain_Query (0,0,"",1," and m.f_status =0 and m.f_re_deptid = ",1,20," order by m.id  desc"))
2020/11/23 09:45:07.728 [E]  svrport = 0 query sql %!(EXTRA string=query sql CALL Msp_BillMain_Query (0,0,"",1," and m.f_status =0 and m.f_re_deptid = ",1,20," order by m.id  desc"))
2020/11/23 09:46:39.042 [E]  svrport = 0 query sql %!(EXTRA string=query sql CALL Msp_BillMain_Query (0,0,"",1," and m.f_re_date >= "2020-09-21 00:00:00 " and m.f_re_date <="2020-09-21 23:59:59" ",1,20," order by m.id  desc"))
2020/11/23 09:58:11.759 [E]  svrport = 0 query sql %!(EXTRA string=query sql CALL Msp_BillMain_Query (0,0,"",1," and m.f_re_userid in (SELECT id FROM tbl_user tu WHERE f_name LIKE "%超级%") ",1,20," order by m.id  desc"))
2020/11/23 10:33:00.305 [E]  svrport = 0 query sql %!(EXTRA string=query sql CALL Msp_BillMain_Query (1,0,"",1," and m.f_status =0 and m.f_re_deptid =50 and m.f_re_userid in (SELECT id FROM tbl_user tu WHERE f_name LIKE '%超级管理员%') ",1,20," order by m.id  desc"))
2020/11/23 10:33:20.084 [E]  svrport = 0 query sql %!(EXTRA string=query sql CALL Msp_BillMain_Query (1,0,"",1," and m.f_status =0 and m.f_re_deptid =50 and m.f_re_userid in (SELECT id FROM tbl_user tu WHERE f_name LIKE '%超级管理员%') ",1,20," order by m.id  desc"))
2020/11/23 10:35:58.797 [E]  svrport = 0 query sql %!(EXTRA string=query sql CALL Msp_BillMain_Query (1,0,"",1," and m.f_status =0 and m.f_re_deptid =50 and m.f_re_userid in (SELECT id FROM tbl_user tu WHERE f_name LIKE '%超级管理员%') and m.f_re_date >= '2020-11-03 00:00:00' and m.f_re_date <= '2020-11-03 23:59:59' ",1,20," order by m.id  desc"))
2020/11/23 10:47:25.139 [E]  svrport = 0 query sql %!(EXTRA string=query sql CALL Msp_BillMain_Query (3,0,"",1,"{"f_status":"0","f_type":"0","f_borrow_deptid":"92","f_borrow_username":"超级管理员","f_borrow_bdate":"2020-11-03","f_borrow_edate":"2020-11-03","f_return_bdate":"","f_return_edate":""}",1,20," order by m.id desc "))
2020/11/23 16:36:14.063 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 12) a LIMIT 0,1)
2020/11/23 16:36:14.064 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 13) a LIMIT 0,1)
2020/11/23 16:36:14.064 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 20) a LIMIT 0,1)
2020/11/23 16:36:14.065 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 21) a LIMIT 0,1)
2020/11/23 16:36:14.065 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 10) a LIMIT 0,1)
2020/11/23 16:36:14.065 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 22) a LIMIT 0,1)
2020/11/23 16:36:14.066 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 23) a LIMIT 0,1)
2020/11/23 16:36:14.066 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 11) a LIMIT 0,1)
2020/11/23 16:36:14.067 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 12) a LIMIT 0,1)
2020/11/23 16:36:14.067 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 24) a LIMIT 0,1)
2020/11/23 16:36:14.067 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 13) a LIMIT 0,1)
2020/11/23 16:36:14.067 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 29) a LIMIT 0,1)
2020/11/23 16:36:14.068 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 20) a LIMIT 0,1)
2020/11/23 16:36:14.069 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 21) a LIMIT 0,1)
2020/11/23 16:36:14.069 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 22) a LIMIT 0,1)
2020/11/23 16:36:14.070 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 23) a LIMIT 0,1)
2020/11/23 16:36:14.070 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 24) a LIMIT 0,1)
2020/11/23 16:36:14.071 [E]  svrport = 0 query sql %!(EXTRA string=query sql select f_name from (SELECT GROUP_CONCAT(b.f_name) AS f_name FROM tbl_role_user a INNER JOIN tbl_role b ON a.f_roleid = b.id WHERE a.f_userid = 29) a LIMIT 0,1)
2020/11/23 16:42:15.009 [E]  svrport = 0 query sql %!(EXTRA string=query sql CALL Msp_BillMain_Query (0,0,"",1," m.f_status = 3",1,20," order by m.id desc "))
2020/11/23 16:42:27.905 [E]  svrport = 0 query sql %!(EXTRA string=query sql CALL Msp_BillMain_Query (0,0,"",1," m.f_status = 3",1,20," order by m.id desc "))
2020/11/23 16:42:31.723 [E]  svrport = 0 query sql %!(EXTRA string=query sql CALL Msp_BillMain_Query (0,0,"",1," m.f_status = 3",1,20," order by m.id desc "))
2020/11/23 16:42:32.931 [E]  svrport = 0 query sql %!(EXTRA string=query sql CALL Msp_BillMain_Query (0,0,"",1," m.f_status = 3",1,20," order by m.id desc "))
2020/11/23 16:42:40.504 [E]  svrport = 0 query sql %!(EXTRA string=query sql CALL Msp_BillMain_Query (0,0,"",1," m.f_status = 3",1,20," order by m.id desc "))
2020/11/23 16:42:41.301 [E]  svrport = 0 query sql %!(EXTRA string=query sql CALL Msp_BillMain_Query (0,0,"",1," m.f_status = 3",1,20," order by m.id desc "))
